Time;Component ID;Description;Monitor Tag;Processed Message;Message Size;Stream ID;Category;Message Identifier
0;SEC 1;The Security Module initialized the ECU Authentication;MonitorTags.CP_SEC_INIT_AUTHENTICATION;<components.security.certification.certificates.EcuCertificate object at 0x0000000005593048>;1000;-1;;1
2.002869175000002;RegularSecureECU_1;Receive a security Module Advertisement from 'SEC 1' -> Start certificate validation;MonitorTags.CP_ECU_RECEIVE_SEC_MOD_ADVERTISEMENT;<components.security.certification.certificates.EcuCertificate object at 0x0000000005593048>;1000;-1;;1
2.064257596099715;RegularSecureECU_1;Certificate from 'SEC 1' validated;MonitorTags.CP_ECU_VALIDATED_SEC_MOD_CERTIFICATE;<components.security.certification.certificates.EcuCertificate object at 0x0000000005593048>;1000;-1;;1
2.064257596099715;RegularSecureECU_1;Start creation of registration message -> Generate ECU Key;MonitorTags.CP_ECU_START_CREATION_REG_MESSAGE;-1;-1;-1;;2
2.064536998844081;RegularSecureECU_1;Created the symmetric ECU Key for Registration Message -> Start to encrypt inner Part;MonitorTags.CP_ECU_CREATED_ECU_KEY_REG_MESSAGE;['SEC 1', <components.security.encryption.encryption_tools.SymmetricKey object at 0x0000000005593588>, 0.9834487547162171, 2.064257596099715];100;-1;;2
2.002869175000002;RegularSecureECU_10;Receive a security Module Advertisement from 'SEC 1' -> Start certificate validation;MonitorTags.CP_ECU_RECEIVE_SEC_MOD_ADVERTISEMENT;<components.security.certification.certificates.EcuCertificate object at 0x0000000005593048>;1000;-1;;1
2.064254860642837;RegularSecureECU_10;Certificate from 'SEC 1' validated;MonitorTags.CP_ECU_VALIDATED_SEC_MOD_CERTIFICATE;<components.security.certification.certificates.EcuCertificate object at 0x0000000005593048>;1000;-1;;1
2.064254860642837;RegularSecureECU_10;Start creation of registration message -> Generate ECU Key;MonitorTags.CP_ECU_START_CREATION_REG_MESSAGE;-1;-1;-1;;2
2.0645342509370677;RegularSecureECU_10;Created the symmetric ECU Key for Registration Message -> Start to encrypt inner Part;MonitorTags.CP_ECU_CREATED_ECU_KEY_REG_MESSAGE;['SEC 1', <components.security.encryption.encryption_tools.SymmetricKey object at 0x0000000005593550>, 0.029249668269634377, 2.064254860642837];100;-1;;2
2.473940277111392;RegularSecureECU_1;Encrypted the inner Registration Message -> Start Hash of inner message;MonitorTags.CP_ECU_ENCRYPTED_INNER_REG_MESSAGE;Encrypted Message;-1;-1;;2
2.4740802910146087;RegularSecureECU_1;Hashed the inner Registration Message -> Start encryption of this hashed part;MonitorTags.CP_ECU_HASHED_INNER_REG_MESSAGE;HashedMessage;16;-1;;2
2.7366571145864746;RegularSecureECU_1;Encrypted the outer Registration Message (Hashed inner Part);MonitorTags.CP_ECU_ENCRYPTED_OUTER_REG_MESSAGE;EncryptedMessage;-1;-1;;2
2.7366571145864746;RegularSecureECU_1;Send the Registration Message to 'SEC 1';MonitorTags.CP_ECU_SEND_REG_MESSAGE;[<components.security.encryption.encryption_tools.EncryptedMessage object at 0x000000000927F358>, <components.security.encryption.encryption_tools.EncryptedMessage object at 0x0000000008BB2B38>, <components.security.certification.certificates.EcuCertificate object at 0x000000000559D2B0>];1192.0;-1;;2
2.4739192862687687;RegularSecureECU_10;Encrypted the inner Registration Message -> Start Hash of inner message;MonitorTags.CP_ECU_ENCRYPTED_INNER_REG_MESSAGE;Encrypted Message;-1;-1;;2
2.4740592939329917;RegularSecureECU_10;Hashed the inner Registration Message -> Start encryption of this hashed part;MonitorTags.CP_ECU_HASHED_INNER_REG_MESSAGE;HashedMessage;16;-1;;2
2.736624417129361;RegularSecureECU_10;Encrypted the outer Registration Message (Hashed inner Part);MonitorTags.CP_ECU_ENCRYPTED_OUTER_REG_MESSAGE;EncryptedMessage;-1;-1;;2
2.736624417129361;RegularSecureECU_10;Send the Registration Message to 'SEC 1';MonitorTags.CP_ECU_SEND_REG_MESSAGE;[<components.security.encryption.encryption_tools.EncryptedMessage object at 0x00000000055A4BE0>, <components.security.encryption.encryption_tools.EncryptedMessage object at 0x00000000055A4940>, <components.security.certification.certificates.EcuCertificate object at 0x000000000559D630>];1192.0;-1;;2
4.003037950000002;RegularSecureECU_18;Receive a security Module Advertisement from 'SEC 1' -> Start certificate validation;MonitorTags.CP_ECU_RECEIVE_SEC_MOD_ADVERTISEMENT;<components.security.certification.certificates.EcuCertificate object at 0x0000000005593048>;1000;-1;;1
4.064424083112448;RegularSecureECU_18;Certificate from 'SEC 1' validated;MonitorTags.CP_ECU_VALIDATED_SEC_MOD_CERTIFICATE;<components.security.certification.certificates.EcuCertificate object at 0x0000000005593048>;1000;-1;;1
4.064424083112448;RegularSecureECU_18;Start creation of registration message -> Generate ECU Key;MonitorTags.CP_ECU_START_CREATION_REG_MESSAGE;-1;-1;-1;;2
4.064703475443288;RegularSecureECU_18;Created the symmetric ECU Key for Registration Message -> Start to encrypt inner Part;MonitorTags.CP_ECU_CREATED_ECU_KEY_REG_MESSAGE;['SEC 1', <components.security.encryption.encryption_tools.SymmetricKey object at 0x0000000005593198>, 0.5408335022104145, 4.064424083112448];100;-1;;2
4.003037950000002;Any_ECU_Name;Receive a security Module Advertisement from 'SEC 1' -> Start certificate validation;MonitorTags.CP_ECU_RECEIVE_SEC_MOD_ADVERTISEMENT;<components.security.certification.certificates.EcuCertificate object at 0x0000000005593048>;1000;-1;;1
4.0644220214673625;Any_ECU_Name;Certificate from 'SEC 1' validated;MonitorTags.CP_ECU_VALIDATED_SEC_MOD_CERTIFICATE;<components.security.certification.certificates.EcuCertificate object at 0x0000000005593048>;1000;-1;;1
4.0644220214673625;Any_ECU_Name;Start creation of registration message -> Generate ECU Key;MonitorTags.CP_ECU_START_CREATION_REG_MESSAGE;-1;-1;-1;;2
4.064701404414849;Any_ECU_Name;Created the symmetric ECU Key for Registration Message -> Start to encrypt inner Part;MonitorTags.CP_ECU_CREATED_ECU_KEY_REG_MESSAGE;['SEC 1', <components.security.encryption.encryption_tools.SymmetricKey object at 0x00000000055AFB70>, 0.0435976506094804, 4.0644220214673625];100;-1;;2
4.003037950000002;RegularSecureECU_2;Receive a security Module Advertisement from 'SEC 1' -> Start certificate validation;MonitorTags.CP_ECU_RECEIVE_SEC_MOD_ADVERTISEMENT;<components.security.certification.certificates.EcuCertificate object at 0x0000000005593048>;1000;-1;;1
4.064422833662988;RegularSecureECU_2;Certificate from 'SEC 1' validated;MonitorTags.CP_ECU_VALIDATED_SEC_MOD_CERTIFICATE;<components.security.certification.certificates.EcuCertificate object at 0x0000000005593048>;1000;-1;;1
4.064422833662988;RegularSecureECU_2;Start creation of registration message -> Generate ECU Key;MonitorTags.CP_ECU_START_CREATION_REG_MESSAGE;-1;-1;-1;;2
4.064702220307094;RegularSecureECU_2;Created the symmetric ECU Key for Registration Message -> Start to encrypt inner Part;MonitorTags.CP_ECU_CREATED_ECU_KEY_REG_MESSAGE;['SEC 1', <components.security.encryption.encryption_tools.SymmetricKey object at 0x000000000558C438>, 0.5262812958787614, 4.064422833662988];100;-1;;2
4.4740914949782375;RegularSecureECU_18;Encrypted the inner Registration Message -> Start Hash of inner message;MonitorTags.CP_ECU_ENCRYPTED_INNER_REG_MESSAGE;Encrypted Message;-1;-1;;2
4.474231503663043;RegularSecureECU_18;Hashed the inner Registration Message -> Start encryption of this hashed part;MonitorTags.CP_ECU_HASHED_INNER_REG_MESSAGE;HashedMessage;16;-1;;2
4.736798540822128;RegularSecureECU_18;Encrypted the outer Registration Message (Hashed inner Part);MonitorTags.CP_ECU_ENCRYPTED_OUTER_REG_MESSAGE;EncryptedMessage;-1;-1;;2
4.736798540822128;RegularSecureECU_18;Send the Registration Message to 'SEC 1';MonitorTags.CP_ECU_SEND_REG_MESSAGE;[<components.security.encryption.encryption_tools.EncryptedMessage object at 0x0000000008BB2550>, <components.security.encryption.encryption_tools.EncryptedMessage object at 0x0000000008298240>, <components.security.certification.certificates.EcuCertificate object at 0x000000000559D9B0>];1192.0;-1;;2
4.474075674707812;Any_ECU_Name;Encrypted the inner Registration Message -> Start Hash of inner message;MonitorTags.CP_ECU_ENCRYPTED_INNER_REG_MESSAGE;Encrypted Message;-1;-1;;2
4.474215678690445;Any_ECU_Name;Hashed the inner Registration Message -> Start encryption of this hashed part;MonitorTags.CP_ECU_HASHED_INNER_REG_MESSAGE;HashedMessage;16;-1;;2
4.736773897570638;Any_ECU_Name;Encrypted the outer Registration Message (Hashed inner Part);MonitorTags.CP_ECU_ENCRYPTED_OUTER_REG_MESSAGE;EncryptedMessage;-1;-1;;2
4.736773897570638;Any_ECU_Name;Send the Registration Message to 'SEC 1';MonitorTags.CP_ECU_SEND_REG_MESSAGE;[<components.security.encryption.encryption_tools.EncryptedMessage object at 0x0000000008BB2470>, <components.security.encryption.encryption_tools.EncryptedMessage object at 0x00000000055A4BA8>, <components.security.certification.certificates.EcuCertificate object at 0x000000000559DD30>];1192.0;-1;;2
4.474081907184255;RegularSecureECU_2;Encrypted the inner Registration Message -> Start Hash of inner message;MonitorTags.CP_ECU_ENCRYPTED_INNER_REG_MESSAGE;Encrypted Message;-1;-1;;2
4.474221913019333;RegularSecureECU_2;Hashed the inner Registration Message -> Start encryption of this hashed part;MonitorTags.CP_ECU_HASHED_INNER_REG_MESSAGE;HashedMessage;16;-1;;2
4.736783605905594;RegularSecureECU_2;Encrypted the outer Registration Message (Hashed inner Part);MonitorTags.CP_ECU_ENCRYPTED_OUTER_REG_MESSAGE;EncryptedMessage;-1;-1;;2
4.736783605905594;RegularSecureECU_2;Send the Registration Message to 'SEC 1';MonitorTags.CP_ECU_SEND_REG_MESSAGE;[<components.security.encryption.encryption_tools.EncryptedMessage object at 0x0000000008BB23C8>, <components.security.encryption.encryption_tools.EncryptedMessage object at 0x0000000008288A20>, <components.security.certification.certificates.EcuCertificate object at 0x00000000055A40F0>];1192.0;-1;;2
4.739999917129363;SEC 1;Received a Registration message from 'RegularSecureECU_10' -> Start decryption;MonitorTags.CP_SEC_RECEIVE_REG_MESSAGE;<components.security.encryption.encryption_tools.EncryptedMessage object at 0x00000000055A4BE0>;128.0;-1;;2
4.965889504259272;SEC 1;Inner Part of Registration message was decrypted (Req. ECU: 'RegularSecureECU_10');MonitorTags.CP_SEC_DECRYPTED_INNER_REG_MESSAGE;['SEC 1', <components.security.encryption.encryption_tools.SymmetricKey object at 0x0000000005593550>, 0.029249668269634377, 2.064254860642837];100;-1;;2
4.996163362383615;SEC 1;Outer Part of Registration message was decrypted (Req. ECU: 'RegularSecureECU_10');MonitorTags.CP_SEC_DECRYPTED_OUTER_REG_MESSAGE;<components.security.encryption.encryption_tools.HashedMessage object at 0x000000000927F2E8>;16;-1;;2
5.05754876454888;SEC 1;Certificate of 'RegularSecureECU_10' is validated;MonitorTags.CP_SEC_VALIDATED_ECU_CERTIFICATE;<components.security.certification.certificates.EcuCertificate object at 0x000000000559D630>;64.0;-1;;2
5.057688771566551;SEC 1;Compare hash for the inner Reg. Message is created (Req. ECU: 'RegularSecureECU_10');MonitorTags.CP_SEC_CREATED_CMP_HASH_REG_MSG;HashedMessage;-1;-1;;2
5.057688771566551;SEC 1;Comparison of inner Registration Message is finished (Req. ECU: 'RegularSecureECU_10') -> Generate Confirmation;MonitorTags.CP_SEC_COMPARED_HASH_REG_MSG;<components.security.certification.certificates.EcuCertificate object at 0x000000000559D630>;64.0;-1;;2
